Sr.No,Round,Institute,PG Program,Group,Category,Max GATE Score,Min GATE Score
10616,National Spot Round,"Visvesvaraya National Institute of Technology, Nagpur",Transportation Engineering,Group 1,OPEN,351,351
10617,National Spot Round,"National Institute of Technology, Tiruchirappalli",Transportation Engineering & Management,Group 1,OBC-NCL,393,344
10618,National Spot Round,"National Institute of Technology, Tiruchirappalli",Transportation Engineering & Management,Group 1,EWS,363,363
10619,National Spot Round,"National Institute of Technology, Tiruchirappalli",Transportation Engineering & Management,Group 1,OPEN,404,401
10620,National Spot Round,"National Institute of Technology, Tiruchirappalli",Transportation Engineering & Management,Group 1,SC,325,325
10621,National Spot Round,Malaviya National Institute of Technology Jaipur,Thermal Engineering,Group 1,OPEN,408,408
10622,National Spot Round,"National Institute of Technology Karnataka, Surathkal",Thermal Engineering,Group 1,OBC-NCL,328,328
10623,National Spot Round,"National Institute of Technology Karnataka, Surathkal",Thermal Engineering,Group 1,EWS,411,411
10624,National Spot Round,"National Institute of Technology, Jamshedpur",Thermal Engineering,Group 1,OPEN,366,366
10625,National Spot Round,"National Institute of Technology, Warangal",Thermal Engineering,Group 1,OBC-NCL,314,314
10626,National Spot Round,"National Institute of Technology, Warangal",Thermal Engineering,Group 1,EWS,345,345
10627,National Spot Round,"National Institute of Technology, Warangal",Thermal Engineering,Group 1,OPEN,407,355
10628,National Spot Round,"National Institute of Technology, Warangal",Thermal Engineering,Group 1,SC,235,235
10629,National Spot Round,National Institute of Technology Durgapur,Power System,Group 1,OBC-NCL,323,323
10630,National Spot Round,"Sardar Vallabhbhai National Institute of Technology, Surat",Power System,Group 1,OPEN,367,367
10631,National Spot Round,National Institute of Technology Calicut,Telecommunication,Group 1,OBC-NCL,395,381
10632,National Spot Round,National Institute of Technology Calicut,Telecommunication,Group 1,EWS,370,354
10633,National Spot Round,National Institute of Technology Calicut,Telecommunication,Group 1,OPEN,428,397
10634,National Spot Round,"National Institute of Technology, Rourkela",Geo-technical Engineering,Group 1,ST,245,245
10635,National Spot Round,"National Institute of Technology, Warangal",Geo-technical Engineering,Group 1,OPEN,451,363
10636,National Spot Round,"National Institute of Technology, Warangal",Geo-technical Engineering,Group 1,SC,277,264
10637,National Spot Round,"National Institute of Technology, Tiruchirappalli",Thermal Power Engineering,Group 1,OBC-NCL,418,355
10638,National Spot Round,"National Institute of Technology, Tiruchirappalli",Thermal Power Engineering,Group 1,OPEN,480,466
10639,National Spot Round,National Institute of Technology Calicut,Traffic & Transportation Planning,Group 1,OBC-NCL,322,322
10640,National Spot Round,National Institute of Technology Calicut,Traffic & Transportation Planning,Group 1,OPEN,366,363
10641,National Spot Round,National Institute of Technology Calicut,Traffic & Transportation Planning,Group 1,SC,283,254
10642,National Spot Round,"Visvesvaraya National Institute of Technology, Nagpur",Urban Planning,Group 1,SC,249,187
10643,National Spot Round,"Indian Institute of Engineering Science and Technology, Shibpur, District Howrah",Urban & Regional Planning,Group 1,SC,181,181
10644,National Spot Round,National Institute of Technology Hamirpur,Electronics & Communication Engineering (Communications System and Networks),Group 1,SC,264,264
10645,National Spot Round,National Institute of Technology Hamirpur,Electronics & Communication Engineering (VLSI Design),Group 1,OBC-NCL,350,334
10646,National Spot Round,National Institute of Technology Hamirpur,Electronics & Communication Engineering (VLSI Design),Group 1,EWS,350,342
10647,National Spot Round,National Institute of Technology Hamirpur,Electronics & Communication Engineering (VLSI Design),Group 1,OPEN,401,397
10648,National Spot Round,"Indian Institute of Information Technology, Allahabad",M.Tech. ECE with specialization in Microelectronics,Group 1,OBC-NCL,479,444
10649,National Spot Round,"Indian Institute of Information Technology, Allahabad",M.Tech. ECE with specialization in Microelectronics,Group 1,OPEN,482,482
10650,National Spot Round,"Indian Institute of Information Technology, Allahabad",M.Tech. ECE with specialization in Microelectronics,Group 1,SC,276,276
10651,National Spot Round,"Indian Institute of Information Technology, Allahabad",M.Tech. ECE with specialization in Communication Engineering,Group 1,OPEN,370,358
10652,National Spot Round,"Indian Institute of Information Technology, Allahabad",Dual Degree M.Tech. –PhD in ECE with specialization in Microelectronics,Group 1,OBC-NCL,342,342
10653,National Spot Round,"Indian Institute of Information Technology, Allahabad",Dual Degree M.Tech. –PhD in ECE with specialization in Microelectronics,Group 1,SC,256,256
10654,National Spot Round,"Indian Institute of Information Technology, Allahabad","M.Tech. IT with specialization in Machine Learning, Robotics and Human Computer Interaction Group",Group 1,OBC-NCL,555,546
10655,National Spot Round,"Indian Institute of Information Technology, Allahabad","M.Tech. IT with specialization in Machine Learning, Robotics and Human Computer Interaction Group",Group 1,EWS,552,539
10656,National Spot Round,"Indian Institute of Information Technology, Allahabad","M.Tech. IT with specialization in Machine Learning, Robotics and Human Computer Interaction Group",Group 1,OPEN,595,589
10657,National Spot Round,"Indian Institute of Information Technology, Allahabad","M.Tech. IT with specialization in Machine Learning, Robotics and Human Computer Interaction Group",Group 1,SC,418,418
10658,National Spot Round,"Indian Institute of Information Technology, Allahabad","M.Tech. IT with specialization in Machine Learning, Robotics and Human Computer Interaction Group",Group 1,ST,272,272
10659,National Spot Round,"Indian Institute of Information Technology, Allahabad","Dual Degree M.Tech. - Ph.D in IT with specialization in Machine Learning, Robotics and Human Computer Interaction Group",Group 1,OPEN,617,617
10660,National Spot Round,"Indian Institute of Information Technology, Allahabad",M.Tech. IT with specialization in Software and Data Engineering Group,Group 1,OBC-NCL,556,552
10661,National Spot Round,"Indian Institute of Information Technology, Allahabad",M.Tech. IT with specialization in Software and Data Engineering Group,Group 1,EWS,581,552
10662,National Spot Round,"Indian Institute of Information Technology, Allahabad",M.Tech. IT with specialization in Software and Data Engineering Group,Group 1,OPEN,605,592
10663,National Spot Round,"Indian Institute of Information Technology, Allahabad",M.Tech. IT with specialization in Software and Data Engineering Group,Group 1,SC,420,420
10664,National Spot Round,"Indian Institute of Information Technology, Allahabad",Dual Degree M.Tech. - Ph.D in IT with specialization in Software and Data Engineering Group,Group 1,OPEN,531,531
10665,National Spot Round,"Indian Institute of Information Technology, Allahabad",M.Tech. IT with specialization in Network and Security Group,Group 1,OBC-NCL,539,527
10666,National Spot Round,"Indian Institute of Information Technology, Allahabad",M.Tech. IT with specialization in Network and Security Group,Group 1,EWS,536,526
10667,National Spot Round,"Indian Institute of Information Technology, Allahabad",M.Tech. IT with specialization in Network and Security Group,Group 1,OPEN,585,556
10668,National Spot Round,National Institute of Technology Patna,Microelectronics and VLSI System Design,Group 1,OBC-NCL,381,342
10669,National Spot Round,National Institute of Technology Patna,Microelectronics and VLSI System Design,Group 1,EWS,367,367
10670,National Spot Round,National Institute of Technology Patna,Microelectronics and VLSI System Design,Group 1,OPEN,424,389
10671,National Spot Round,National Institute of Technology Patna,Microelectronics and VLSI System Design,Group 1,SC,280,280
10672,National Spot Round,National Institute of Technology Patna,Microelectronics and VLSI System Design,Group 1,ST,259,259
10673,National Spot Round,"National Institute of Technology, Warangal",VLSI Systems Design,Group 1,OBC-NCL,584,584
10674,National Spot Round,"National Institute of Technology, Warangal",VLSI Systems Design,Group 1,EWS,565,565
10675,National Spot Round,"National Institute of Technology, Warangal",VLSI Systems Design,Group 1,OPEN,616,616
10676,National Spot Round,Maulana Azad National Institute of Technology Bhopal,VLSI Design & Embedded Systems,Group 1,OBC-NCL,416,405
10677,National Spot Round,Maulana Azad National Institute of Technology Bhopal,VLSI Design & Embedded Systems,Group 1,EWS,405,405
10678,National Spot Round,Maulana Azad National Institute of Technology Bhopal,VLSI Design & Embedded Systems,Group 1,OPEN,467,428
10679,National Spot Round,Maulana Azad National Institute of Technology Bhopal,VLSI Design & Embedded Systems,Group 1,SC,299,299
10680,National Spot Round,"National Institute of Technology, Rourkela",VLSI Design & Embedded Systems,Group 1,OBC-NCL,565,561
10681,National Spot Round,"National Institute of Technology, Rourkela",VLSI Design & Embedded Systems,Group 1,OPEN,604,581
10682,National Spot Round,"National Institute of Technology, Rourkela",VLSI Design & Embedded Systems,Group 1,ST,295,295
10683,National Spot Round,"National Institute of Technology, Kurukshetra",Embedded System Design,Group 1,OBC-NCL,420,397
10684,National Spot Round,"National Institute of Technology, Kurukshetra",Embedded System Design,Group 1,OPEN,467,448
10685,National Spot Round,"National Institute of Technology, Kurukshetra",Embedded System Design,Group 1,SC,276,271
10686,National Spot Round,"Punjab Engineering College, Chandigarh",Electronics (VLSI Design),Group 1,OPEN,400,354
10687,National Spot Round,"Punjab Engineering College, Chandigarh",Electronics (VLSI Design),Group 1,SC,264,264
10688,National Spot Round,"Indian Institute of Information Technology, Allahabad",Dual Degree M.Tech. - Ph.D in IT with specialization in Network and Security Group,Group 1,OBC-NCL,423,423
10689,National Spot Round,"Indian Institute of Information Technology, Allahabad",Dual Degree M.Tech. - Ph.D in IT with specialization in Network and Security Group,Group 1,OPEN,479,479
10690,National Spot Round,Indian Institute of Information Technology Tiruchirappalli,VLSI Systems,Group 1,OBC-NCL,330,330
10691,National Spot Round,Indian Institute of Information Technology Tiruchirappalli,VLSI Systems,Group 1,OPEN,487,364
10692,National Spot Round,Indian Institute of Information Technology Tiruchirappalli,VLSI Systems,Group 1,SC,264,264
10693,National Spot Round,National Institute of Technology Goa,VLSI,Group 1,OBC-NCL,420,405
10694,National Spot Round,National Institute of Technology Goa,VLSI,Group 1,EWS,393,385
10695,National Spot Round,National Institute of Technology Goa,VLSI,Group 1,OPEN,479,448
10696,National Spot Round,Maulana Azad National Institute of Technology Bhopal,M.Tech Agile Software Engineering,Group 1,OBC-NCL,423,410
10697,National Spot Round,Maulana Azad National Institute of Technology Bhopal,M.Tech Agile Software Engineering,Group 1,OPEN,485,460
10698,National Spot Round,Maulana Azad National Institute of Technology Bhopal,M.Tech Agile Software Engineering,Group 1,SC,298,298
10699,National Spot Round,"Dr. B R Ambedkar National Institute of Technology, Jalandhar",VLSI Design,Group 1,OBC-NCL,432,416
10700,National Spot Round,"Dr. B R Ambedkar National Institute of Technology, Jalandhar",VLSI Design,Group 1,EWS,424,397
10701,National Spot Round,"Dr. B R Ambedkar National Institute of Technology, Jalandhar",VLSI Design,Group 1,OPEN,499,449
10702,National Spot Round,"Dr. B R Ambedkar National Institute of Technology, Jalandhar",VLSI Design,Group 1,SC,303,303
10703,National Spot Round,"Visvesvaraya National Institute of Technology, Nagpur",VLSI Design,Group 1,OPEN,444,440
10704,National Spot Round,"Visvesvaraya National Institute of Technology, Nagpur",VLSI Design,Group 1,SC,330,330
10705,National Spot Round,"Indian Institute of Engineering Science and Technology, Shibpur, District Howrah",VLSI Design,Group 1,OPEN,413,385
10706,National Spot Round,"Indian Institute of Engineering Science and Technology, Shibpur, District Howrah",VLSI Design,Group 1,SC,258,258
10707,National Spot Round,"Visvesvaraya National Institute of Technology, Nagpur",VLSI Design,Group 1,OBC-NCL,429,410
10708,National Spot Round,"Visvesvaraya National Institute of Technology, Nagpur",VLSI Design,Group 1,EWS,393,377
10709,National Spot Round,"National Institute of Technology, Kurukshetra",VLSI Design,Group 1,OPEN,561,530
10710,National Spot Round,"National Institute of Technology, Kurukshetra",VLSI Design,Group 1,SC,307,307
10711,National Spot Round,National Institute of Technology Puducherry,VLSI Design,Group 1,OBC-NCL,370,370
10712,National Spot Round,National Institute of Technology Puducherry,VLSI Design,Group 1,OPEN,389,384
10713,National Spot Round,National Institute of Technology Puducherry,VLSI Design,Group 1,SC,280,280
10714,National Spot Round,"National Institute of Technology, Kurukshetra",VLSI Design,Group 1,OBC-NCL,495,479
10715,National Spot Round,"National Institute of Technology Karnataka, Surathkal",VLSI Design,Group 2,SC,370,370
10716,National Spot Round,Malaviya National Institute of Technology Jaipur,VLSI Design,Group 1,SC,358,358
10717,National Spot Round,National Institute of Technology Agartala,VLSI Design,Group 1,SC,252,252
10718,National Spot Round,Malaviya National Institute of Technology Jaipur,VLSI Design,Group 1,OBC-NCL,479,463
10719,National Spot Round,Malaviya National Institute of Technology Jaipur,VLSI Design,Group 2,OBC-NCL,463,463
10720,National Spot Round,Malaviya National Institute of Technology Jaipur,VLSI Design,Group 1,EWS,475,475
10721,National Spot Round,Malaviya National Institute of Technology Jaipur,VLSI Design,Group 2,EWS,464,464
10722,National Spot Round,Malaviya National Institute of Technology Jaipur,VLSI Design,Group 1,OPEN,518,518
10723,National Spot Round,Malaviya National Institute of Technology Jaipur,VLSI Design,Group 2,OPEN,510,510
10724,National Spot Round,National Institute of Technology Raipur,VLSI & Embedded Systems,Group 1,OBC-NCL,380,354
10725,National Spot Round,National Institute of Technology Raipur,VLSI & Embedded Systems,Group 2,OBC-NCL,350,334
10726,National Spot Round,National Institute of Technology Raipur,VLSI & Embedded Systems,Group 1,EWS,366,350
10727,National Spot Round,National Institute of Technology Raipur,VLSI & Embedded Systems,Group 1,OPEN,393,385
10728,National Spot Round,National Institute of Technology Raipur,VLSI & Embedded Systems,Group 2,OPEN,398,381
10729,National Spot Round,National Institute of Technology Raipur,VLSI & Embedded Systems,Group 1,SC,291,291
10730,National Spot Round,National Institute of Technology Raipur,VLSI & Embedded Systems,Group 2,SC,291,291
10731,National Spot Round,"Sardar Vallabhbhai National Institute of Technology, Surat",VLSI & Embedded Systems,Group 1,OBC-NCL,444,432
10732,National Spot Round,"Sardar Vallabhbhai National Institute of Technology, Surat",VLSI & Embedded Systems,Group 1,OPEN,484,483
10733,National Spot Round,"Sardar Vallabhbhai National Institute of Technology, Surat",VLSI & Embedded Systems,Group 1,SC,303,286
10734,National Spot Round,"Sardar Vallabhbhai National Institute of Technology, Surat",VLSI & Embedded Systems,Group 1,ST,272,272
10735,National Spot Round,National Institute of Technology Delhi,Electronics and Communication Engineering with specialisation in VLSI,Group 1,OBC-NCL,432,432
10736,National Spot Round,National Institute of Technology Delhi,Electronics and Communication Engineering with specialisation in VLSI,Group 1,OPEN,491,491
10737,National Spot Round,National Institute of Technology Delhi,Electronics and Communication Engineering with specialisation in VLSI,Group 1,SC,323,323
10738,National Spot Round,National Institute of Technology Delhi,Electronics and Communication Engineering with specialisation in VLSI,Group 1,ST,260,260
10739,National Spot Round,National Institute of Technology Calicut,Water Resource Engineering,Group 1,OBC-NCL,349,349
10740,National Spot Round,Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,Wireless Networks and Computing,Group 1,OBC-NCL,364,335
10741,National Spot Round,Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,Wireless Networks and Computing,Group 1,EWS,354,354
10742,National Spot Round,Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,Wireless Networks and Computing,Group 1,OPEN,412,387
