SNo,Round,Institute,PG Program,Group,Category,Max GATE Score,Min GATE Score
14,Round 1,"Defence Institute of Advanced Technology (Deemed to be University), Girinagar, Pune",Artificial Intelligence,G1,OBC-NCL,420,330
15,Round 1,University of Hyderabad,Information Security,G1,ST,245,245
16,Round 1,University of Hyderabad,Information Technology,G1,OBC-NCL,343,319
17,Round 1,"Indian Institute of Information Technology, Bhagalpur, Bihar",Artificial Intelligence & Data Science,G1,SC,346,346
18,Round 1,"Indian Institute of Information Technology, Bhagalpur, Bihar",Electric Vehicle Technology,G1,EWS,425,425
19,Round 1,Malaviya National Institute of Technology Jaipur,Renewable Energy,G1,SC,409,409
20,Round 1,Malaviya National Institute of Technology Jaipur,Renewable Energy,G1,ST,250,250
,,,,,,,
1,Round 1,"National Institute of Technology Karnataka, Surathkal",Computer Science & Engineering,G1,ST,407,403
2,Round 1,National Institute of Technology Durgapur,Power System,G1,OBC-NCL,446,400
3,Round 1,Maulana Azad National Institute of Technology Bhopal,Structural Engineering,G1,SC,382,323
4,Round 1,"National Institute of Technology, Warangal",Industrial Metallurgy,G1,SC,307,303
5,Round 1,"National Institute of Technology, Tiruchirappalli",Chemical Engineering,G1,SC,387,303
6,Round 1,"Defence Institute of Advanced Technology (Deemed to be University), Girinagar, Pune",Materials Engineering,G1,OBC-NCL,389,301
7,Round 1,"International Institute of Information Technology, Naya Raipur",Electronics and Communication Engineering,G1,OPEN,489,404
8,Round 1,"Indian Institute of Information Technology, Kota",Electronics and Communication Engineering with Specialization in Information and Communication Technology ,G1,OPEN,371,350
9,Round 1,Malaviya National Institute of Technology Jaipur,Renewable Energy,G3,OPEN,427,399
10,Round 1,Malaviya National Institute of Technology Jaipur,Renewable Energy,G3,SC,294,283
11,Round 1,National Institute of Technology Meghalaya,Power & Energy Systems,G1,OBC-NCL,321,318
12,Round 1,National Institute of Technology Meghalaya,Power & Energy Systems,G1,OPEN,366,354
13,Round 1,National Institute of Technology Durgapur,Power Electronics & Machine Drives,G1,SC,318,292
14,Round 1,Maulana Azad National Institute of Technology Bhopal,Water Resources Engineering & Management,G1,OBC-NCL,389,374
15,Round 1,"National Institute of Technology, Warangal",Manufacturing Engineering,G1,ST,245,245
16,Round 1,"National Institute of Technology, Tiruchirappalli",Energy Efficient & Sustainable Architecture,G1,OBC-NCL,526,484
17,Round 1,"National Institute of Technology, Tiruchirappalli",Energy Efficient & Sustainable Architecture,G1,EWS,514,448
18,Round 1,"International Institute of Information Technology, Naya Raipur",Computer Science & Engineering,G1,OBC-NCL,488,470
19,Round 1,"Indian Institute of Information Technology, Kota",Computer Science and Engineering with Specialization in Artificial Intelligence and Data Science,G1,OPEN,508,433
20,Round 1,Malaviya National Institute of Technology Jaipur,Structural Engineering,G1,OPEN,778,595
,,,,,,,
1,Round 1,"National Institute of Technology Karnataka, Surathkal",Water Resources Engineering & Management,G1,OBC-NCL,475,455
2,Round 1,Maulana Azad National Institute of Technology Bhopal,Transportation Engineering,G1,OBC-NCL,459,429
3,Round 1,"National Institute of Technology, Warangal",Materials and Systems Engineering Design,G1,OBC-NCL,555,546
4,Round 1,"National Institute of Technology, Tiruchirappalli",Chemical Engineering,G2,OBC-NCL,364,342
5,Round 1,"Defence Institute of Advanced Technology (Deemed to be University), Girinagar, Pune",Artificial Intelligence,G1,OPEN,596,473
6,Round 1,University of Hyderabad,Information Technology,G1,EWS,364,319
7,Round 1,University of Hyderabad,Information Technology,G1,OPEN,465,408
8,Round 1,"Indian Institute of Information Technology, Bhagalpur, Bihar",Electric Vehicle Technology,G1,OBC-NCL,425,425
9,Round 1,"National Institute of Electronics and Information Technology, Aurangabad",Electronics Design & Technology,G1,OBC-NCL,333,321
10,Round 1,Malaviya National Institute of Technology Jaipur,Transportation Engineering,G1,EWS,492,452
11,Round 1,Malaviya National Institute of Technology Jaipur,Transportation Engineering,G1,OPEN,681,563
12,Round 1,National Institute of Technology Durgapur,Chemical Engineering (Energy Resources and Sustainable Environmental Engineering),G1,OBC-NCL,364,319
13,Round 1,Maulana Azad National Institute of Technology Bhopal,Transportation Engineering,G1,EWS,455,429
14,Round 1,"National Institute of Technology, Warangal",Materials and Systems Engineering Design,G1,EWS,546,542
15,Round 1,"National Institute of Technology, Tiruchirappalli",Chemical Engineering,G2,EWS,505,505
16,Round 1,"National Institute of Technology, Tiruchirappalli",Chemical Engineering,G2,OPEN,562,550
17,Round 1,School of Planning & Architecture: Vijayawada,Sustainable Architecture,G1,ST,272,272
18,Round 1,"National Institute of Electronics and Information Technology, Aurangabad",Electronics Design & Technology,G1,OPEN,493,362
19,Round 1,"National Institute of Electronics and Information Technology, Aurangabad",Electronics Design & Technology,G1,SC,283,213
20,Round 1,"National Institute of Advanced manufacturing Technology, Hatia, Ranchi",Environmental Engineering,G1,OBC-NCL,342,323
,,,,,,,
1,Round 1,Malaviya National Institute of Technology Jaipur,Thermal Engineering,G1,EWS,441,441
2,Round 1,Malaviya National Institute of Technology Jaipur,Thermal Engineering,G1,OPEN,555,488
3,Round 1,"Indian Institute of Information Technology, Design & Manufacturing Kancheepuram, Chennai",Computer Science and Engineering with Specialization in Data Science and Artificial Intelligence,G1,OBC-NCL,446,361
4,Round 1,"Indian Institute of Information Technology, Design & Manufacturing Kancheepuram, Chennai",Computer Science and Engineering with Specialization in Data Science and Artificial Intelligence,G1,EWS,324,323
5,Round 1,"Indian Institute of Information Technology, Design & Manufacturing Kancheepuram, Chennai",Computer Science and Engineering with Specialization in Data Science and Artificial Intelligence,G1,OPEN,539,451
6,Round 1,"Indian Institute of Information Technology, Design & Manufacturing Kancheepuram, Chennai",Computer Science and Engineering with Specialization in Data Science and Artificial Intelligence,G1,SC,394,275
7,Round 1,"Indian Institute of Information Technology, Design & Manufacturing Kancheepuram, Chennai",Computer Science and Engineering with Specialization in Data Science and Artificial Intelligence,G1,ST,249,249
8,Round 1,"Indian Institute of Information Technology, Design & Manufacturing Kancheepuram, Chennai",Electronics and Communication Engineering with Specialization in Microelectronics and VLSI Systems,G1,OBC-NCL,429,396
9,Round 1,National Institute of Technology Durgapur,Power System,G1,EWS,428,418
10,Round 1,Maulana Azad National Institute of Technology Bhopal,Water Resources Engineering & Management,G1,EWS,382,332
11,Round 1,Maulana Azad National Institute of Technology Bhopal,Water Resources Engineering & Management,G1,OPEN,462,398
12,Round 1,Malaviya National Institute of Technology Jaipur,Urban Planning,G2,ST,343,343
13,Round 1,Malaviya National Institute of Technology Jaipur,VLSI Design,G1,OBC-NCL,564,531
